benchmark,mean,std
akka-uct,0.0009869216866911978,
als,0.012053413853785458,
avrora,0.0060507635456951625,
batik,0.007692090562224831,
biojava,0.032172429114227984,
chi-square,0.003002986079741146,
dec-tree,0.007556899094146811,
dotty,0.004797133584086972,
finagle-chirper,0.001415866026630862,
finagle-http,0.001066736395558728,
fj-kmeans,0.0029778594523570704,
fop,0.0008573792770740524,
future-genetic,0.003542162425998575,
gauss-mix,0.01989942205479856,
graphchi,0.026295639599903393,
h2,0.006135194264678438,
jme,0.011503714681955221,
jython,0.0014782882825594196,
log-regression,0.0012972108834745808,
luindex,0.003580575730013517,
lusearch,0.00611093291831357,
mnemonics,0.01656841568418521,
naive-bayes,0.009706305403732678,
page-rank,0.014267774684343213,
par-mnemonics,0.035611588337884234,
philosophers,0.0015488098623944323,
pmd,0.003467272777699726,
reactors,0.0009449307171189058,
rx-scrabble,0.005115404603105904,
scala-doku,0.0017693946257980818,
scala-kmeans,0.014784877796534382,
scala-stm-bench7,0.024584971616616713,
scrabble,0.07309898761052513,
sunflow,0.04285420988131313,
xalan,0.0006727641373051661,
zxing,0.00459620980660666,
