benchmark,mean,std
akka-uct,0.0004526146711523417,
als,0.0019453774106929942,
avrora,0.0007983718929709336,
batik,0.0032029838195362483,
biojava,0.02353825649899397,
chi-square,0.026476017167876533,
dec-tree,0.0009736838825973533,
dotty,0.003753362465776827,
finagle-chirper,0.0025996125956392327,
finagle-http,0.005103539937005703,
fj-kmeans,0.0014901239945983742,
fop,0.011802343655420508,
future-genetic,0.01274883455861005,
gauss-mix,0.005223483697591005,
graphchi,0.026936278442386944,
h2,0.07206312802223831,
jme,0.00020253107234969502,
jython,0.008797082471343066,
log-regression,0.006698636319110845,
luindex,0.005694949480880974,
lusearch,0.0017274232754738662,
mnemonics,0.4248173538367884,
naive-bayes,0.03271535960748309,
page-rank,0.0034729831577723336,
par-mnemonics,0.06088794720059426,
philosophers,0.0047525459549073975,
pmd,2.221823039678953e-05,
reactors,0.003824841755803641,
rx-scrabble,0.06405218781508133,
scala-doku,0.05968298329854664,
scala-kmeans,0.022899216675369642,
scala-stm-bench7,0.042456514426194865,
scrabble,0.06423462604171955,
sunflow,0.12884576785738866,
xalan,0.0003422015811353547,
zxing,0.00871811618031018,
